,precision,recall,f1-score,support
0.0,0.9978427155740632,0.9974651100375738,0.9976538770755067,745200.0
1.0,0.9422005997184995,0.9504012345679013,0.9462831504870778,32400.0
accuracy,0.9955041152263374,0.9955041152263374,0.9955041152263374,0.9955041152263374
macro avg,0.9700216576462813,0.9739331723027376,0.9719685137812922,777600.0
weighted avg,0.9955242940800815,0.9955041152263374,0.9955134301343221,777600.0
